title,author,date,article,link
Ejercito: Somebody higher than Senate may have influenced leadership change,Maila Ager," , / 10:25 AM May 23, 2024","MANILA  Philippines — Senator JV Ejercito believes “somebody higher than the Senate” might have influenced his colleagues to replace former Senate President Juan Miguel Zubiri.,Four days after the Senate shake-up on Monday, Ejercito pieced together the issues that later led to Zubiri’s “downfall.”,According to him, the coup rumor started last January when the Senate and the House , allegedly initiated by the lower chamber.,“It died down a bit, and then it was resuscitated during the PDEA (Philippine Drug Enforcement Agency) leaks hearing recently,” Ejercito said in an interview over  ANC’s “Headstart” on Thursday.,“And I would think it was because that was the last issue before Senate President Migz was replaced, and I think that was the final nail on the coffin, so to speak, on the leadership,” he said.,The alleged leaked PDEA documents linked prominent personalities, including President Ferdinand “Bongbong” Marcos  Jr. and actress Maricel Soriano.,The Senate committee is investigating the issue on order, headed by former top cop and now Senator Ronald “Bato” Dela  Rosa.,Zubiri himself said he , for defending the committee chairmanship of Dela Rosa.,However, only after his removal from the Senate leadership did he find out Dela Rosa was one of 15 senators who backed the newly-installed Senate President Francis ”Chiz” Escudero.,“As to your question whether there were external forces behind, I would say so because as I mentioned I think all the senators know they had a freehand in everything. They were satisfied I would say,” Ejercito said.,“Ako masasabi ko sa kanila walang naging kasalanan si Migz Zubiri sa inyo bilang Senate President. Lahat ng inyong hiningi, lahat ng inyong ni-request pinagbigyan. All of you were able to do your own thing with your respective committees. So there was really no compelling reason to replace him,” he said.,(I can tell them Migz Zubiri has done nothing wrong to you as Senate President. He granted everything you asked for, every request you made. All of you could do your own thing with your respective committees. So there was no compelling reason to replace him),Two days before Zubiri was removed from his post,  Ejercito said they were still confident they had the support of the majority of 24 senators.,But suddenly, the “tides changed,” he said.,“We can just surmise, I don’t want to speculate or name anybody but I  would think it will be somebody higher than the Senate to influence the minds and the positions of the senators for them to have a change of heart,” Ejercito said.,In the end Zubiri, was left with only six allies — Ejercito, Senators Loren Legarda, Joel Villanueva, Sonny Angara, Nancy Binay, and Sherwin Gatchalian.,Ejercito’s half-brother, Senate President Pro Tempore Jinggoy Estrada, already ,outside forces influenced the Senate leadership.,“Walang outside forces. It is just among our colleagues here,” he said.,Earlier, Escudero also , against Zubiri.",https://newsinfo.inquirer.net/1943891/somebody-higher-than-senate-may-have-influenced-leadership-change
Environmental groups’ call: Save trees on path of Davao-Samal bridge,Germelina Lacorte," , / 05:15 AM May 23, 2024","DAVAO CITY, Philippines — Environmentalists here are alarmed that hundreds of trees are being cut down to give way to the China-funded bridge project that will connect this city to nearby Samal Island.,Carmela Marie Santos, head of the environment group Ecoteneo and secretariat of Sustainable Davao Movement (SDM), said they were surprised to see the signage put up by the Department of Environment and Natural Resources (DENR) telling the public that it had issued a permit for the cutting of 223 trees in the Davao City side alone for the Samal Island-Davao City Connector (SIDC) project.,Santos, who addressed the city council session on Tuesday, said that Davao City, one of the 38 cities in the country that the state weather bureau said would continue to experience “dangerous” heat index levels, was supposed to be planting more trees, not cutting them.,“This [year] was greeted with the alarming heat levels that have been accompanied by a [suspension] of classes across the country, dismal effects on agriculture productivity and serious health risks for the vulnerable. Yet, here in our city, [the] DPWH (Department of Public Works and Highways) brings in Chinese contractors cutting trees by the hundreds and clearing areas by the hectares for a bridge that is only less than 3 kilometers,” said the position paper signed by environment groups that included Ecoteneo of the Ateneo de Davao University and the Interfacing Development Interventions for Sustainability (Idis).,Lawyer Romeo Cabarde, director of Ateneo Public Interest and Legal Advocacy (Apila), said they were greatly disappointed that the city government allowed the cutting of trees despite a local ordinance that protects heritage trees from being cut.,Cabarde said they were exhausting all means to negotiate with the local government but if their efforts would fail, then they would file a writ of kalikasan to prevent the further destruction of trees and the environment and its adverse impact on the lives of communities who depend on them.,The cutting of another 200 trees on Samal Island has also started to pave the way for the start of SIDC construction.,“Were Davao citizens consulted on this matter? Did they observe the Heritage Tree Ordinance and apply for a permit from the Office of the Mayor?” Santos asked, referring to the city ordinance that protects mature trees, particularly centennial trees and those that form part of a tree corridor in the area.,Aside from calling for the suspension of tree-cutting and land clearing activities, the group also urged the local government to declare a climate emergency and a moratorium on all major projects in the city that would damage protected and ecologically sensitive areas.,“We look at the cutting of trees not only as an environmental tragedy but also as a serious human rights violation,” Cabarde said.,“It’s a dangerous [thinking]for the city council to say that we can’t do anything because it’s a national project,” said lawyer Mark Peñalver, Idis executive director. “So what can the local government do in the face of national government projects that have adverse impact on communities?”",https://newsinfo.inquirer.net/1943728/environmental-groups-call-save-trees-on-path-of-davao-samal-bridge
"Ex-rebel leader, thought dead, appears in video",," 11:30 PM May 12, 2024","BOGOTA, Colombia — A former senior commander of Colombia’s now-defunct FARC guerrilla group, who was rumored to be dead, appeared in a video released on Saturday expressing his support for government proposals to start talks.,Ivan Marquez, then the second-in-command of the Revolutionary Armed Forces of Colombia (FARC), helped negotiate a key 2016 peace deal but took up arms again in 2019.,He leads a FARC faction known as Segunda Marquetalia which, according to military intelligence, has around 1,600 members.,Colombian media speculated in July about his death after an attack in Venezuela in 2022, but the government dismissed the rumors. Police announced in March that he was in Colombia.,Marquez can be seen wearing a T-shirt and glasses in an excerpt of the 16-minute video published by El Pais newspaper on Saturday.,Agence France-Presse (AFP) could not independently verify the recording’s authenticity.,“A Bolivarian constitution for Colombia would be an extraordinary idea,” Marquez, whose real name is Luciano Marin, is heard saying, referring to Colombian President Gustavo Petro’s proposal to create a constituent assembly.,“The winds of change are blowing, awakening the hope of the multitudes,” he said.,The recording was presented during a peace forum in Colombia’s eastern region of Vichada, near the border with Venezuela, according to El Pais.,Marquez took part in negotiations in Havana that led to the historic 2016 ceasefire deal.,He briefly returned to civilian life and was elected a senator until, in August 2019, he appeared in camouflage gear and carrying a rifle in a video announcing his new rebellion.,Petro, Colombia’s first leftist president, has sought to put an end to six decades of conflict between the country’s security forces, guerrillas, right-wing paramilitaries and drug gangs.,In February, Petro’s government and Marquez’s Segunda Marquetalia announced the opening of talks but did not give a date. ",https://newsinfo.inquirer.net/1939896/ex-rebel-leader-thought-dead-appears-in-video
"US, Taiwan navies ‘hold Pacific drills’",," 10:49 PM May 14, 2024","TAIPEI, Taiwan — The US and Taiwan navies conducted joint drills in the Pacific in April that, officially, did not take place, four people briefed on the matter said, as the two militaries boost cooperation amid rising Chinese military threats.,Washington and Taipei have been expanding their military cooperation in recent years amid almost daily Chinese incursions into Taiwan’s air defense identification zone and drills by Chinese forces near the island.,US-Taiwan military engagement, including visits and training, are kept low-key and are often not officially confirmed because of China’s objection to any military contacts between Washington and Taipei.,China claims democratically governed Taiwan as its own territory, which the island strongly rejects.,The drills, which were not publicized, took place last month in the Western Pacific, according to the sources, who requested anonymity given the sensitivity of the matter.,One source said “multiple military assets” were involved. A second source said the drills did not officially exist and were dubbed “unplanned sea encounters,” pointing to a tacit agreement in which both sides claim the exercises were simply the result of coincidental encounters.,“It’s like I am dining in this restaurant and you also happen to be here,” the source said. “Then it looks like I am only sharing the same table with someone.”,That source also said about half a dozen navy ships from both sides, including frigates and supply and support vessels, participated in the dayslong exercises, which were designed to practice “basic” operations such as communications, refueling and resupply.,Taiwan’s navy said in a statement to Reuters that to handle unexpected scenarios at sea and to minimize “interference” with each another, the navy “acts in concert with the US-promoted Code for Unplanned Encounters at Sea,” also known as CUES.,“The Navy often makes contact with vessels of other countries and conducts encounter drills as needed,” the statement said, without elaborating.,The Pentagon declined to comment.,Taiwan and the United States have no official diplomatic relationship, as Washington formally recognizes Beijing but is bound by law to provide Taiwan with the means to defend itself and is the island’s most important international backer.,A third source said although the “unplanned encounters” of the two navies involved mostly basic exercises, such drills are vital to ensure the two militaries can operate together in times of emergency.,The source added that the two navies also practiced various tactical maneuvers, including searching for underwater targets.,The CUES was formulated about a decade ago to help deescalate tensions between militaries at sea, providing guidelines such as safe speeds and distances, a common communications language, and what actions to take if a ship becomes disabled.,China’s foreign ministry repeated its opposition to military ties between the United States and Taiwan, urging the United States to stop its “erroneous acts” of military collusion with Taiwan, and warning Taiwan authorities that seeking independence by force and resisting “reunification” would fail.,China’s defense ministry did not immediately respond to a request for comment.,Taiwan’s navy chief, Tang Hua, last month visited the United States and discussed how to boost bilateral naval cooperation, Reuters reported. In response, China’s foreign ministry said it firmly opposed “military collusion” between the United States and Taiwan.,This month, Taiwan’s chief of the general staff Adm. Mei Chia-shu attended the change-of-command ceremony for US Indo-Pacific Command in Hawaii, which only came to light after he was spotted in the audience in an official picture.,China has long said Taiwan is China’s most sensitive territorial issue, which is a major bone of contention in Sino-US ties.,Beijing has not renounced the use of force to bring Taiwan under its control, while Taipei says the Chinese territorial claims are void as the People’s Republic of China has never governed the island. —Reuters",https://newsinfo.inquirer.net/1940634/us-taiwan-navies-hold-pacific-drills
House censures Alvarez for urging gov’t troops to turn back on Marcos,Jeannette I. Andrade," , / 05:50 AM May 23, 2024","MANILA, Philippines — The House of Representatives voted on Wednesday night to censure former Speaker Pantaleon Alvarez for his speech at a Tagum City prayer rally last month where he reportedly called on the police and the military to withdraw their support for President Ferdinand Marcos Jr.,While the House committee on ethics and privileges chaired by Coop-Natcco Rep. Felimon Espares had recommended a 60-day suspension for the Davao del Norte congressman, the penalty was reduced to a censure on the prompting of Camiguin Rep. Jurdin Jesus Romualdo.,Romualdo was among the lawmakers who reacted strongly against Alvarez’s statements in the April 14 Maisug prayer rally at the Davao del Norte Sports and Tourism complex. He even called on the Department of Justice to investigate and possibly file a complaint of inciting to sedition against the former House leader.,A total of 186 lawmakers voted in favor of the committee’s recommendation. Five were not in favor, while seven abstained, including Senior Deputy Majority Leader Sandro Marcos, the President’s son.,Espares said that although Alvarez propounded specific defenses, “we cannot agree that there was no improper conduct committed,” adding that the committee “cannot countenance such words or statements that would put into disrepute the image of our institution.”,“Our colleague should have been more circumspect [about] his words or statements and observed the norms of conduct expected of public officials under our jurisdiction,” he stressed.,He said the panel found that the former Speaker “indeed uttered unparliamentary and inappropriate statements which reflected negatively upon the dignity, integrity and reputation of the House as an institution and on the members of the House individually and collectively.”,In appealing to downgrade the penalty, Romualdo said that while he agreed that Alvarez’s statements in the rally were “unparliamentary and distasteful,” the committee had acknowledged that they were “emotional expressions rather than intentional calls for actual harm or further political consequences.”,Romualdo also said the severity of a 60-day suspension appeared “disproportionate” to the nature and context of the former Speaker’s conduct.",https://newsinfo.inquirer.net/1943764/house-censures-alvarez-for-urging-govt-troops-to-turn-back-on-marcos
SC rules client’s death can’t be blamed on gym,," , / 05:48 AM May 23, 2024","MANILA, Philippines — The Supreme Court has absolved a fitness center of liability over the death of its 59-year-old client after a workout session in 2000.,In a decision promulgated on April 3 but made public only on Tuesday, the high tribunal’s First Division ruled that Miguel Kim, the husband of deceased Adelaida Kim, failed to establish that Slimmers World International violated the terms of its contract with his wife and that there was a causal connection between her final training session and death.,The court noted that neither the member’s handout nor the records showed that the gym had an obligation to take the client’s blood pressure and to have a doctor onsite at all times.,“To be sure, the Court cannot hold the fitness center accountable for terms that do not exist in the contract,” it said in the ruling penned by Associate Justice Jose Midas Marquez.,The Supreme Court effectively granted the petition for review on certiorari filed by Slimmers World as it reversed the 2012 decision of the Court of Appeals, which found the gym guilty of breaching its obligation.,It also dismissed for lack of merit, Miguel’s complaint for recovery of damages for the death of his wife.,The case stemmed from a case filed by Miguel in 2000 after his wife died due to cerebral hemorrhage and severe hypertension.,Adelaida, then 59 years old, had availed herself of the 12-visit personal training program of Slimmers World.,Shortly after her 12th session, she complained of a headache and vomited. The gym staff immediately brought her to the hospital but she died after three days.,In a 2009 decision, a local court granted Miguel’s complaint for damages, finding that the gross negligence of Slimmers World, its managing director, and Adelaida’s fitness trainer was the proximate cause of her death.,The gym and its two personnel were ordered to pay a total of P1.3 million in damages and attorney’s fees.,The appellate court affirmed the lower court’s decision in 2012 but reduced the award of moral and exemplary damages from P500,000 and P200,000 to P50,000 each. It also removed the attorney’s fees for “lack of basis.”,In ruling on the present petition, the Supreme Court said that the gym “can neither be held answerable for contractual negligence nor quasi-delict.”,Quasi-delict is defined as “fault or negligence if there is no pre-existing contractual relation[ship] between the parties.”,The high court underscored that when Adelaida availed herself of the 12-visit program, she “expressly declared” in her application that she was not suffering from hypertension, among others.,“Notably, Adelaida made these declarations despite her duty to ‘inform the Fitness Trainer of any medical problem or concern before engaging in any gym activity,’” the Supreme Court said.,“In the final analysis, while the Court commiserates with Miguel for the death of his wife, it is the solemn duty of this Court to impartially assess the merits of the case on applicable law and evidence adduced,” the court said.",https://newsinfo.inquirer.net/1943775/sc-rules-clients-death-cant-be-blamed-on-gym
Butuan City under calamity state due to water crisis,Chris V. Panganiban," , / 05:20 AM May 23, 2024","SAN FRANCISCO, AGUSAN DEL SUR, Philippines — The local government of Butuan has declared the entire city under a state of calamity because of its “extreme water shortage” brought about by the long dry spell.,The state of calamity was declared through Sangguniang Panlungsod Resolution No. 238-2024 during the city council’s regular session on May 21 after Mayor Ronnie Vicente Lagnada recommended the measure through the City Disaster Risk Reduction and Management Council which he chairs.,In the resolution, the city council cited a report of the Philippine Atmospheric, Geophysical and Astronomical Services Administration (Pagasa) that the drought that affected Butuan for three consecutive months was “way below normal” or more than 60-percent reduction of rainfall in the urban center.,It noted that since April 21, the City Disaster Risk Reduction and Management Department, the Filipino-Chinese Fire Brigade and the Bureau of Fire Protection conducted daily water rationing to augment the water supply in urban villages where water supply is low.,The council also considered the report of the Butuan City Water District about the significant drop in the normal water supply flow from bulk water supplier Taguibo Aquatic Solutions Corp., from an average of 56.5 megaliters a day to 48.49 megaliters, with the flow rate still continuously decreasing.,The Taguibo watershed is the main source of water supply in the city.,But a report by Caraga Center for Geo-Informatics (CCGeo) said that the dam in the upstream of Taguibo watershed had already dried up based on the latest available satellite images tracked on May 19. CCGeo is an interdisciplinary center of Caraga State University that is devoted to the conduct of research, innovation and training activities in the field of geo-informatics.,“These images vividly illustrate the alarming changes over time. The crisis poses a severe threat to our water supply, impacting both our daily lives and the environment,” CCGeo warned on Wednesday.,CCGeo said that extreme temperatures could have likely “significantly impacted the water levels in the Taguibo watershed.”,“Prolonged periods of high temperatures in the area over the past months likely led to increased evaporation rates; it may have reduced the surface water available in the [Taguibo] dam. This issue is further exacerbated by insufficient rainfall to replenish the water supply. These recent extreme temperatures have likely accelerated the drying up of the dam and other parts of the watershed, contributing to the overall water crisis,” it added.,CCGeo urged Butuan residents “to conserve water in our daily usage, support efforts to restore and protect our watershed and advocate for sustainable water management practices.”,Pagasa noted that Butuan City and six other areas in the country had registered a heat index of 45 to 46 degrees Celsius as of May 21.",https://newsinfo.inquirer.net/1943726/butuan-city-under-calamity-state-due-to-water-crisis
Ex-policeman dies fighting robbers in Rizal,Delfin T. Mallari Jr. @dtmallarijrINQ," , / 11:54 AM May 23, 2024","LUCENA CITY — A 46-year-old retired , on Wednesday after he foiled the robbery attempt of two suspects in Taytay town in Rizal province.,In a report, the Region 4A police said Gary Boco was tending his store in Barangay Sta. Ana at 2:50 p.m. when two unidentified motorcyclists arrived.,The back rider, armed with a handgun, alighted from the vehicle, approached Boco and, at gunpoint, declared a hold-up.,However, Boco resisted and tried to grab the firearm when the weapon went off twice, hitting the former cop on his body.,The two robbers fled on foot and left behind the firearm and their black Yamaha Mio motorcycle with an improvised plate number.,The victim was taken to the hospital but died on the way.,The report said the victim was a retired member of the Philippine National Police.,The police were conducting further investigations to identify and arrest the suspects.",https://newsinfo.inquirer.net/1943903/ex-policeman-dies-fighting-robbers-in-rizal
Cigarette triggered Naia T3 parking lot fire – MIAA,Luisa Cabato," , / 08:35 PM May 22, 2024","“We told them to construct higher guard houses to enable guards to have a better view of the area for possible violators,” Ines said in a Viber message.,More frequent patrols will also be carried out by airport police, he added.,MANILA, Philippines — Cigarette butts triggered the , at the parking lot of the Ninoy Aquino International Airport (Naia) Terminal 3 in Pasay City last April, according to Manila International Airport Authority (MIAA) General Manager Eric Jose Ines.,Ines told INQUIRER.net that MIAA management had already ordered the placement of gravel in the area after having the dried grass collected.,He added that the management ordered the strict enforcement of a smoking ban in the parking area and to equip security guards with “better fire extinguishers and more lighting during night time.”,According to a statement released by MIAA after the fire last April 22, the blaze started “from a small grass fire which rapidly progressed, burning several nearby vehicles parked thereat.”",https://newsinfo.inquirer.net/1943704/cigarette-triggered-naia-t3-parking-lot-fire-miaa
Marcos says gov’t prioritizes Maguindanaons’ security,Jean Mangaluz," , / 02:12 PM May 23, 2024","MANILA, Philippines — President Ferdinand Marcos Jr. said on Thursday that security remains at the top of his administration’s priorities.,Marcos acknowledged the area’s conflicts while distributing various government aid to communities hit by the El Niño phenomenon in Maguindanao del Sur.,“Hindi natin kinakalimutan ang mga hamon sa seguridad na patuloy na iniinda dito sa Maguindanao del Sur,” said Marcos in his speech.,(We will not forget the challenges to security that continue to be felt here in Maguindanao del Sur.),“Ang kasaysayan ng kaguluhan ay nag-iwan ng marka sa magandang lupain na ito na patuloy na nakaka-apekto sa inyong araw-araw na kabuhayan. Ngunit alam kong malalagpasan natin ito,” he promised the residents.,(The history of conflict left a mark on this beautiful land, continuously affecting your daily livelihood. But I know we will move past this.),“Tinitiyak ko sa inyo na ang kaligtasan ng ating mamamayan at nananatiling prioridad ng aking adminsitrasyon,” he added.,(I guarantee our citizens’ safety, which remains our administration’s priority.),Marcos said the government would continue to address the roots of the conflict and that lasting peace would be achieved.,The President ordered government agencies, both local and national, to go on assisting the communities.,“Inaatasan ko rin ang lahat ng ahensya ng gobyerno, kabilang ang lokal na pamahalaan, na tiyakin na nakakarating sa ating kababayan ang iba’t ibang ayuda at serbisyo mula sa pamahalaan,” said Marcos.,(I order all government agencies,  including the local government, to ensure that government aid and services are reaching the people.)",https://newsinfo.inquirer.net/1944047/marcos-tells-maguindanaons-your-security-is-priority-of-government
Cambodia’s Kampot pepper can’t stand the heat,," 11:10 PM May 13, 2024","KAMPOT, Cambodia — Farmer Chhim Laem shakes his head as he walks between long rows of dead bushes, their brown leaves scorched by heat and drought that have devastated Cambodia’s famed Kampot pepper crop.,Known for its intense floral flavor, Kampot pepper is prized by top chefs around the world and sells for up to $200 (P11,570) per kilo.,Nurtured for generations in two provinces in southwest Cambodia, the pepper industry survived the genocidal Khmer Rouge and decades of instability, but now faces the threat of extreme weather driven by climate change.,“It is so hot this year, no rains, and we have no water to water the pepper plants,” Laem told Agence France-Presse (AFP). “So they all died.”,South and Southeast Asia have sweltered in recent weeks under record temperatures, with governments closing schools, people dying of heatstroke and farmers praying for rain.,Scientists warn that human-induced climate change will produce more frequent, longer and more intense heat waves.,In parts of Cambodia, the mercury nearly hit 43 degrees Celsius in late April — after a six-month drought that pushed farmers to a breaking point.,All 264 of Laem’s pepper bushes perished, the 55-year-old explained, due to water shortages and hot weather.,Production has grown in recent years, boosted by the European Union granting the spice a “protected geographical indication” in 2016 — meaning that only pepper grown in a designated area can be called Kampot.,The Kampot region produced about 120 tons of peppercorns last year, but farmers say that excessive heat and rain have made 2024 the worst on record.,Laem earned about $1,000 from his farm last year, but said he expects a fraction of that now.,Nguon Lay is a fourth-generation pepper farmer, harvesting nine tons from his nearby five-hectare farm last year.,But the 71-year-old farmer expected to harvest nothing this year.,Torrential rain destroyed the plants’ flowers earlier in the season, with more dying in the prolonged drought that followed. “So it is the worst year. We don’t know what to do. We see problems, but we can’t resolve them,” Lay said.,Like other farmers, Lay said he knew the problems came from the weather and the environment.,Several ponds used to water his plants have dried up, and his workers only water the crop once every five days.,“We have been prepared. We know about climate change, we have stored water, we built roofs to protect our peppers from the hot weather, but it was not enough.”,Kampot pepper gained global acclaim during the French colonial occupation of Cambodia when it was exported widely, but the industry was nearly wiped out during the Khmer Rouge era.,In more recent years it has bounced back, gracing hip restaurant menus across the globe.,Kann Sinouch, president of the Kampot Pepper Promotion Association, said he expected this year’s pepper yield to be halved — and warned of an export shortage in 2025. —Agence France-Presse",https://newsinfo.inquirer.net/1940249/cambodias-kampot-pepper-cant-stand-the-heat
